cirp_id,sector,bench,admission_date,resolution_status,duration_days,admitted_claim_cr,realisation_pct,no_of_financial_creditors,resolution_applicants_received,ip_changed,litigation_pending,favourable_outcome
CIRP-00063,Real Estate,NCLT Hyderabad,2020-09-02,Liquidation Order,639,26.15,0.02,150,1,0,0,0
CIRP-00064,Retail,NCLT Mumbai,2017-08-27,Resolution Plan Approved,1031,108.01,43.16,61,4,0,0,1
CIRP-00065,Energy,NCLT Delhi,2021-10-15,Withdrawn (Sec 12A),227,29.66,51.11,31,8,0,0,1
CIRP-00066,Others,NCLT Hyderabad,2019-07-21,Withdrawn (Sec 12A),1052,4.17,72.65,142,20,0,0,1
CIRP-00067,IT / Technology,NCLT Delhi,2021-03-16,Resolution Plan Approved,951,2.65,46.02,91,19,0,0,1
CIRP-00068,Manufacturing,NCLT Mumbai,2017-12-27,Ongoing,78,38.92,,99,9,0,0,0
CIRP-00069,Banking & Finance,NCLT Kolkata,2018-11-02,Ongoing,554,51.06,,43,0,0,0,0
CIRP-00070,Infrastructure,NCLT Hyderabad,2020-08-29,Appeal Pending,362,84.61,,107,5,0,1,0
CIRP-00071,Retail,NCLT Mumbai,2022-02-07,Ongoing,76,20.64,,73,17,0,0,0
CIRP-00072,Manufacturing,NCLT Kolkata,2020-01-12,Liquidation Order,736,692.44,5.93,99,17,0,0,0
CIRP-00073,Banking & Finance,NCLT Kolkata,2022-12-14,Settled,847,239.95,56.73,74,11,0,0,1
CIRP-00074,Others,NCLT Mumbai,2022-03-11,Appeal Pending,548,445.97,,145,5,0,0,0
CIRP-00075,Banking & Finance,NCLT Chennai,2017-01-08,Resolution Plan Approved,680,50.93,30.95,42,16,1,0,1
CIRP-00076,Infrastructure,NCLT Delhi,2021-06-14,Appeal Pending,542,70.08,,113,16,0,1,0
CIRP-00077,Infrastructure,NCLT Kolkata,2019-11-27,Resolution Plan Approved,251,111.05,39.36,68,15,0,1,1
CIRP-00078,Banking & Finance,NCLT Mumbai,2021-02-25,Resolution Plan Approved,778,99.63,19.82,1,9,0,0,1
CIRP-00079,IT / Technology,NCLT Chennai,2019-07-16,Withdrawn (Sec 12A),93,200.51,78.42,106,6,0,1,1
CIRP-00080,Manufacturing,NCLT Ahmedabad,2019-06-05,Withdrawn (Sec 12A),993,24.82,60.63,68,10,1,1,1
CIRP-00081,Others,NCLT Delhi,2017-03-30,Liquidation Order,743,4.43,8.26,71,12,0,0,0
CIRP-00082,Telecom,NCLT Kolkata,2021-08-29,Resolution Plan Approved,693,141.33,35.34,110,3,0,1,1
CIRP-00083,Manufacturing,NCLT Delhi,2022-03-17,Appeal Pending,353,111.93,,104,13,0,0,0
CIRP-00084,Infrastructure,NCLT Mumbai,2021-02-13,Appeal Pending,245,320.34,,60,2,0,1,0
CIRP-00085,Telecom,NCLT Chennai,2017-07-15,Settled,91,23.17,74.01,95,4,0,1,1
CIRP-00086,Real Estate,NCLT Kolkata,2018-05-16,Appeal Pending,92,30.57,,98,11,0,0,0
CIRP-00087,Manufacturing,NCLT Hyderabad,2018-06-28,Ongoing,310,45.98,,12,0,0,1,0
CIRP-00088,Telecom,NCLT Kolkata,2020-09-21,Liquidation Order,492,58.11,2.88,141,18,0,0,0
CIRP-00089,Banking & Finance,NCLT Ahmedabad,2022-08-15,Withdrawn (Sec 12A),1089,162.61,78.14,98,15,0,0,1
CIRP-00090,Healthcare,NCLT Kolkata,2020-05-04,Liquidation Order,516,32.27,1.05,123,13,1,1,0
CIRP-00091,Telecom,NCLT Hyderabad,2022-01-02,Resolution Plan Approved,324,125.61,24.81,67,16,0,0,1
CIRP-00092,IT / Technology,NCLT Mumbai,2021-04-20,Appeal Pending,451,517.02,,131,15,0,0,0
CIRP-00093,Others,NCLT Ahmedabad,2017-03-24,Settled,917,213.56,76.37,15,3,1,0,1
CIRP-00094,Manufacturing,NCLT Delhi,2020-11-15,Ongoing,597,501.1,,21,16,0,0,0
CIRP-00095,Real Estate,NCLT Delhi,2017-11-29,Ongoing,104,84.27,,125,11,0,0,0
CIRP-00096,Healthcare,NCLT Mumbai,2022-11-20,Ongoing,204,35.68,,13,0,1,0,0
CIRP-00097,IT / Technology,NCLT Ahmedabad,2022-11-26,Resolution Plan Approved,242,89.59,51.33,53,16,0,0,1
CIRP-00098,Others,NCLT Delhi,2018-02-22,Resolution Plan Approved,933,13.44,25.32,75,1,0,0,1
CIRP-00099,Retail,NCLT Delhi,2022-10-03,Resolution Plan Approved,924,271.56,26.42,2,0,0,0,1
CIRP-00100,Others,NCLT Mumbai,2021-12-04,Liquidation Order,311,66.15,1.38,136,1,0,1,0
CIRP-00101,Real Estate,NCLT Ahmedabad,2019-09-10,Resolution Plan Approved,115,5.34,38.82,122,5,1,0,1
CIRP-00102,Manufacturing,NCLT Mumbai,2020-05-26,Settled,725,2.89,68.72,107,7,0,0,1
CIRP-00103,Manufacturing,NCLT Hyderabad,2018-10-29,Ongoing,587,407.81,,97,3,0,0,0
CIRP-00104,Retail,NCLT Kolkata,2022-04-01,Settled,526,25.37,89.37,103,12,0,1,1
CIRP-00105,Healthcare,NCLT Mumbai,2018-03-20,Liquidation Order,1041,261.9,1.73,29,14,0,0,0
CIRP-00106,Energy,NCLT Ahmedabad,2017-05-21,Appeal Pending,62,4.54,,116,11,1,0,0
CIRP-00107,Infrastructure,NCLT Ahmedabad,2020-10-28,Liquidation Order,930,90.47,0.41,74,18,0,0,0
CIRP-00108,Healthcare,NCLT Chennai,2022-12-31,Resolution Plan Approved,729,236.8,26.29,75,18,1,1,1
CIRP-00109,Healthcare,NCLT Hyderabad,2018-06-16,Resolution Plan Approved,935,78.82,20.93,4,12,1,1,1
CIRP-00110,Real Estate,NCLT Chennai,2018-04-24,Settled,102,5.33,44.32,143,5,0,0,1
CIRP-00111,Others,NCLT Mumbai,2019-02-25,Resolution Plan Approved,631,427.53,13.6,66,10,0,1,1
CIRP-00112,IT / Technology,NCLT Ahmedabad,2019-04-15,Resolution Plan Approved,961,360.58,34.35,16,9,0,1,1
CIRP-00113,Healthcare,NCLT Hyderabad,2021-10-31,Withdrawn (Sec 12A),718,19.55,64.04,38,15,0,1,1
CIRP-00114,Infrastructure,NCLT Kolkata,2022-02-21,Resolution Plan Approved,608,521.86,50.66,70,9,1,1,1
CIRP-00115,Telecom,NCLT Ahmedabad,2018-08-17,Liquidation Order,832,30.88,5.15,82,3,0,0,0
CIRP-00116,Telecom,NCLT Delhi,2018-04-03,Resolution Plan Approved,678,49.61,21.67,68,3,0,0,1
CIRP-00117,Real Estate,NCLT Kolkata,2017-03-17,Withdrawn (Sec 12A),825,125.38,60.27,113,13,0,0,1
CIRP-00118,Telecom,NCLT Ahmedabad,2019-10-01,Ongoing,250,27.77,,98,17,0,0,0
CIRP-00119,Telecom,NCLT Kolkata,2022-07-21,Appeal Pending,295,32.33,,20,8,0,0,0
CIRP-00120,IT / Technology,NCLT Kolkata,2017-03-13,Resolution Plan Approved,112,187.32,39.55,29,7,1,0,1
CIRP-00121,Banking & Finance,NCLT Chennai,2020-02-07,Appeal Pending,291,263.83,,64,6,0,0,0
CIRP-00122,Telecom,NCLT Mumbai,2022-07-24,Withdrawn (Sec 12A),998,331.09,61.61,21,15,0,0,1
CIRP-00123,Manufacturing,NCLT Kolkata,2021-07-30,Withdrawn (Sec 12A),788,16.22,76.7,2,2,0,1,1
CIRP-00124,Telecom,NCLT Chennai,2018-08-05,Settled,71,23.18,36.0,100,1,0,0,1
CIRP-00125,Infrastructure,NCLT Kolkata,2022-07-18,Resolution Plan Approved,602,476.76,24.47,36,9,0,0,1
CIRP-00126,Retail,NCLT Chennai,2019-07-12,Withdrawn (Sec 12A),738,21.27,81.13,136,6,1,0,1
CIRP-00127,Retail,NCLT Kolkata,2018-12-21,Ongoing,351,25.04,,14,1,0,1,0
CIRP-00128,Banking & Finance,NCLT Mumbai,2022-02-03,Withdrawn (Sec 12A),467,4210.19,87.22,61,13,0,0,1
CIRP-00129,Infrastructure,NCLT Hyderabad,2020-06-19,Settled,778,10.77,80.41,144,14,0,0,1
CIRP-00130,Others,NCLT Chennai,2020-07-29,Withdrawn (Sec 12A),1035,13.16,76.35,130,1,1,0,1
CIRP-00131,Retail,NCLT Hyderabad,2022-07-14,Settled,1000,44.8,50.41,137,10,0,0,1
CIRP-00132,Telecom,NCLT Hyderabad,2021-10-31,Resolution Plan Approved,271,62.0,28.34,11,12,0,0,1
CIRP-00133,Healthcare,NCLT Chennai,2020-02-07,Resolution Plan Approved,902,241.9,47.22,47,5,0,1,1
CIRP-00134,Infrastructure,NCLT Kolkata,2019-11-12,Appeal Pending,427,352.95,,100,18,0,0,0
CIRP-00135,Energy,NCLT Hyderabad,2019-09-30,Resolution Plan Approved,416,42.3,17.31,53,1,0,0,1
CIRP-00136,Healthcare,NCLT Kolkata,2017-12-06,Ongoing,54,84.04,,130,8,0,1,0
CIRP-00137,IT / Technology,NCLT Hyderabad,2018-07-28,Appeal Pending,600,295.99,,86,17,0,0,0
CIRP-00138,Healthcare,NCLT Chennai,2017-12-14,Ongoing,564,46.81,,131,18,0,0,0
CIRP-00139,Others,NCLT Kolkata,2021-01-25,Resolution Plan Approved,232,1807.9,39.04,53,16,0,0,1
CIRP-00140,Others,NCLT Delhi,2018-04-09,Appeal Pending,367,30.3,,112,1,0,0,0
CIRP-00141,Infrastructure,NCLT Kolkata,2017-11-06,Ongoing,389,59.39,,118,9,0,0,0
CIRP-00142,IT / Technology,NCLT Mumbai,2019-04-18,Appeal Pending,356,15.85,,97,18,0,0,0
CIRP-00143,Infrastructure,NCLT Ahmedabad,2018-04-20,Settled,996,89.03,69.31,34,4,0,0,1
CIRP-00144,Telecom,NCLT Mumbai,2019-10-21,Resolution Plan Approved,912,29.03,40.0,71,12,0,1,1
CIRP-00145,Energy,NCLT Hyderabad,2019-07-14,Settled,705,390.15,37.4,91,4,0,1,1
CIRP-00146,Manufacturing,NCLT Ahmedabad,2017-07-12,Settled,1074,21.51,65.78,26,14,1,0,1
CIRP-00147,Energy,NCLT Chennai,2019-12-31,Ongoing,151,99.42,,33,3,1,1,0
CIRP-00148,Manufacturing,NCLT Chennai,2021-04-16,Liquidation Order,399,3.01,2.69,12,5,0,0,0
CIRP-00149,Banking & Finance,NCLT Delhi,2019-07-29,Liquidation Order,435,13.39,1.01,123,14,0,0,0
CIRP-00150,Retail,NCLT Kolkata,2021-02-19,Resolution Plan Approved,457,64.1,14.1,38,0,0,0,1
CIRP-00151,Others,NCLT Ahmedabad,2019-10-20,Ongoing,437,71.27,,43,12,0,0,0
CIRP-00152,Others,NCLT Ahmedabad,2020-10-05,Appeal Pending,38,127.19,,129,19,1,0,0
CIRP-00153,Others,NCLT Delhi,2018-10-28,Ongoing,454,24.22,,99,15,0,0,0
CIRP-00154,Telecom,NCLT Kolkata,2019-08-21,Ongoing,549,715.2,,18,13,0,0,0
CIRP-00155,Others,NCLT Ahmedabad,2018-03-08,Withdrawn (Sec 12A),946,1877.81,73.42,141,14,0,0,1
CIRP-00156,Banking & Finance,NCLT Kolkata,2019-12-27,Appeal Pending,335,83.34,,102,15,0,0,0
CIRP-00157,Banking & Finance,NCLT Ahmedabad,2019-03-04,Withdrawn (Sec 12A),676,43.73,69.08,25,5,0,1,1
CIRP-00158,Others,NCLT Delhi,2022-04-09,Liquidation Order,850,4.85,6.83,94,10,0,0,0
CIRP-00159,IT / Technology,NCLT Mumbai,2021-09-13,Withdrawn (Sec 12A),259,4.06,68.5,68,12,0,1,1
CIRP-00160,IT / Technology,NCLT Hyderabad,2021-03-22,Appeal Pending,166,27.43,,116,2,0,1,0
CIRP-00161,Manufacturing,NCLT Delhi,2020-01-19,Appeal Pending,322,182.08,,140,9,0,0,0
CIRP-00162,Healthcare,NCLT Mumbai,2018-08-31,Appeal Pending,493,40.94,,150,12,0,0,0
CIRP-00163,Retail,NCLT Hyderabad,2019-06-28,Appeal Pending,384,138.98,,134,14,0,0,0
CIRP-00164,IT / Technology,NCLT Chennai,2021-11-19,Liquidation Order,229,280.24,3.28,99,5,0,0,0
CIRP-00165,Retail,NCLT Chennai,2022-08-31,Appeal Pending,396,160.41,,145,11,0,0,0
CIRP-00166,Energy,NCLT Hyderabad,2020-12-18,Liquidation Order,232,41.42,1.43,56,3,0,1,0
CIRP-00167,Telecom,NCLT Delhi,2020-02-13,Liquidation Order,926,216.47,0.68,124,1,1,0,0
CIRP-00168,Energy,NCLT Mumbai,2022-07-13,Appeal Pending,257,39.31,,26,2,0,0,0
CIRP-00169,Real Estate,NCLT Mumbai,2019-02-27,Withdrawn (Sec 12A),677,40.98,58.45,47,2,0,0,1
CIRP-00170,IT / Technology,NCLT Kolkata,2020-10-25,Appeal Pending,428,184.75,,115,18,0,0,0
CIRP-00171,Real Estate,NCLT Mumbai,2022-11-01,Ongoing,155,24.33,,92,17,0,0,0
CIRP-00172,Others,NCLT Hyderabad,2020-02-17,Appeal Pending,352,8.7,,139,5,0,0,0
CIRP-00173,Telecom,NCLT Ahmedabad,2022-04-24,Liquidation Order,497,136.01,4.11,137,18,0,0,0
CIRP-00174,Telecom,NCLT Ahmedabad,2021-12-24,Resolution Plan Approved,808,94.14,30.11,98,1,0,0,1
CIRP-00175,Retail,NCLT Chennai,2017-08-11,Settled,666,79.24,88.62,4,13,0,0,1
CIRP-00176,Banking & Finance,NCLT Hyderabad,2022-10-12,Withdrawn (Sec 12A),622,28.18,68.1,74,10,0,1,1
CIRP-00177,Telecom,NCLT Hyderabad,2020-06-17,Ongoing,492,7.3,,60,11,0,1,0
CIRP-00178,Others,NCLT Ahmedabad,2017-01-13,Resolution Plan Approved,437,22.1,47.68,103,11,0,0,1
CIRP-00179,Manufacturing,NCLT Delhi,2017-07-06,Settled,1092,11.18,50.5,97,18,0,0,1
CIRP-00180,Infrastructure,NCLT Chennai,2022-01-24,Resolution Plan Approved,483,4.9,44.02,87,12,0,1,1
CIRP-00181,Healthcare,NCLT Kolkata,2018-09-23,Ongoing,214,114.13,,37,1,0,1,0
CIRP-00182,Real Estate,NCLT Chennai,2021-05-19,Ongoing,53,12.74,,31,7,0,1,0
CIRP-00183,Manufacturing,NCLT Chennai,2022-05-24,Ongoing,251,33.13,,49,10,1,0,0
CIRP-00184,Infrastructure,NCLT Delhi,2019-09-02,Withdrawn (Sec 12A),956,678.49,66.11,43,16,0,0,1
CIRP-00185,Banking & Finance,NCLT Delhi,2021-09-19,Settled,154,200.57,59.8,87,18,0,0,1
CIRP-00186,Retail,NCLT Kolkata,2019-12-03,Appeal Pending,592,148.24,,107,13,0,0,0
CIRP-00187,Energy,NCLT Chennai,2019-06-24,Resolution Plan Approved,881,8.04,35.52,105,17,0,0,1
CIRP-00188,Energy,NCLT Hyderabad,2019-01-19,Ongoing,356,529.96,,8,11,0,1,0
CIRP-00189,Manufacturing,NCLT Ahmedabad,2019-10-21,Liquidation Order,400,270.3,5.89,125,5,1,0,0
CIRP-00190,Telecom,NCLT Delhi,2021-11-06,Settled,996,84.91,76.22,118,3,0,0,1
CIRP-00191,Real Estate,NCLT Ahmedabad,2017-05-28,Settled,1044,302.86,72.08,120,16,0,1,1
CIRP-00192,Healthcare,NCLT Delhi,2019-02-25,Withdrawn (Sec 12A),336,20.87,72.81,16,9,0,0,1
CIRP-00193,Energy,NCLT Ahmedabad,2019-04-19,Withdrawn (Sec 12A),493,52.21,68.64,105,0,1,0,1
CIRP-00194,Real Estate,NCLT Chennai,2021-11-28,Resolution Plan Approved,705,20.12,24.09,92,16,0,1,1
CIRP-00195,Banking & Finance,NCLT Kolkata,2019-01-02,Settled,910,846.0,57.46,41,2,0,1,1
CIRP-00196,Healthcare,NCLT Delhi,2022-07-10,Settled,837,674.55,63.2,24,10,0,1,1
CIRP-00197,Healthcare,NCLT Chennai,2018-12-28,Settled,1039,0.64,45.71,147,5,1,0,1
CIRP-00198,IT / Technology,NCLT Chennai,2022-12-06,Ongoing,243,283.78,,33,18,0,0,0
CIRP-00199,Healthcare,NCLT Chennai,2017-11-08,Settled,539,266.18,80.53,10,7,0,0,1
CIRP-00200,Others,NCLT Delhi,2017-12-01,Ongoing,71,7.74,,104,10,0,0,0
CIRP-00201,Telecom,NCLT Delhi,2019-11-26,Settled,210,25.4,54.86,24,8,1,0,1
CIRP-00202,Energy,NCLT Mumbai,2022-04-24,Settled,1016,654.66,83.84,87,8,0,0,1
CIRP-00203,Others,NCLT Hyderabad,2022-09-03,Resolution Plan Approved,220,606.69,14.21,138,19,0,0,1
CIRP-00204,Banking & Finance,NCLT Kolkata,2019-08-05,Appeal Pending,204,279.64,,90,12,0,0,0
CIRP-00205,Energy,NCLT Chennai,2021-06-18,Resolution Plan Approved,593,130.63,19.89,117,1,0,0,1
CIRP-00206,Infrastructure,NCLT Hyderabad,2021-12-18,Resolution Plan Approved,473,34.83,38.48,138,11,1,0,1
CIRP-00207,Infrastructure,NCLT Kolkata,2019-08-27,Liquidation Order,306,15.07,2.1,40,10,1,0,0
CIRP-00208,Real Estate,NCLT Delhi,2020-03-16,Withdrawn (Sec 12A),835,1021.66,64.56,115,0,0,0,1
CIRP-00209,Banking & Finance,NCLT Delhi,2022-07-28,Settled,892,118.72,74.23,143,15,0,0,1
CIRP-00210,Healthcare,NCLT Delhi,2021-08-24,Appeal Pending,94,279.43,,22,5,0,0,0
CIRP-00211,Others,NCLT Ahmedabad,2020-11-08,Withdrawn (Sec 12A),712,50.28,59.59,110,9,0,1,1
CIRP-00212,Healthcare,NCLT Delhi,2018-08-10,Ongoing,548,29.52,,81,11,0,1,0
CIRP-00213,Banking & Finance,NCLT Chennai,2017-09-06,Ongoing,341,20.98,,73,14,0,1,0
CIRP-00214,Banking & Finance,NCLT Delhi,2017-07-17,Settled,86,29.35,60.64,146,3,0,0,1
CIRP-00215,Telecom,NCLT Chennai,2022-10-11,Resolution Plan Approved,377,126.9,38.48,150,10,1,1,1
CIRP-00216,Energy,NCLT Mumbai,2022-05-25,Withdrawn (Sec 12A),1034,15.32,72.39,93,8,0,0,1
CIRP-00217,Telecom,NCLT Ahmedabad,2020-05-20,Resolution Plan Approved,718,12.39,31.78,92,11,1,0,1
CIRP-00218,Energy,NCLT Mumbai,2018-12-27,Liquidation Order,814,20.79,2.63,69,15,0,0,0
CIRP-00219,Banking & Finance,NCLT Mumbai,2019-04-28,Settled,448,14.67,34.1,69,16,0,0,1
CIRP-00220,Banking & Finance,NCLT Mumbai,2022-05-28,Liquidation Order,946,33.63,6.35,104,13,0,0,0
CIRP-00221,Others,NCLT Kolkata,2021-06-20,Withdrawn (Sec 12A),1020,564.89,83.81,87,13,0,0,1
CIRP-00222,Real Estate,NCLT Kolkata,2018-09-06,Liquidation Order,1027,124.55,0.72,119,17,0,0,0
CIRP-00223,Others,NCLT Delhi,2021-09-16,Withdrawn (Sec 12A),594,8.89,39.19,110,3,0,0,1
CIRP-00224,Real Estate,NCLT Kolkata,2020-03-15,Appeal Pending,416,47.36,,94,5,0,0,0
CIRP-00225,IT / Technology,NCLT Kolkata,2022-01-24,Withdrawn (Sec 12A),695,675.95,37.34,126,16,0,0,1
CIRP-00226,Banking & Finance,NCLT Delhi,2020-08-26,Appeal Pending,434,44.28,,14,19,0,0,0
CIRP-00227,Telecom,NCLT Kolkata,2020-09-24,Appeal Pending,86,27.82,,31,3,0,0,0
CIRP-00228,Manufacturing,NCLT Kolkata,2022-11-14,Withdrawn (Sec 12A),195,126.03,65.14,27,16,0,1,1
CIRP-00229,Energy,NCLT Chennai,2022-03-22,Withdrawn (Sec 12A),330,276.6,69.57,100,10,0,0,1
CIRP-00230,Banking & Finance,NCLT Ahmedabad,2022-01-03,Withdrawn (Sec 12A),533,5.82,85.26,59,10,0,1,1
CIRP-00231,Others,NCLT Chennai,2022-06-29,Liquidation Order,330,272.11,3.19,41,2,0,0,0
CIRP-00232,Energy,NCLT Delhi,2020-12-06,Withdrawn (Sec 12A),313,12.13,60.12,142,3,0,1,1
CIRP-00233,Banking & Finance,NCLT Kolkata,2022-01-09,Settled,1012,33.14,52.85,109,8,0,0,1
CIRP-00234,Manufacturing,NCLT Kolkata,2021-07-25,Ongoing,111,90.5,,72,20,0,0,0
