case_id,case_type,court,court_hierarchy,state,sector,filing_date,disposal_date,duration_months,claim_amount_lakhs,claimant_lawyer_win_rate,respondent_is_govt,respondent_is_psu,num_prior_adjournments,has_interim_order,represented_by_senior_counsel,favourable_outcome,disposal_category,realisation_pct,filing_year,filing_quarter,case_age_months,log_claim_amount,claim_bucket,court_avg_duration,court_avg_win_rate,adjournment_density,case_type_enc,court_enc,state_enc,sector_enc,claim_bucket_enc
SYNTH-00050,CIRP (IBC),Supreme Court,4,Punjab,Manufacturing,2010-02-18,2014-04-28,51,184.99,0.77,0,0,26,0,0,1,Settlement / Compromise,15.2,2010,1,195.16666666666666,5.225692908827035,50-200L,60.0,0.44227642276422763,0.1332194705380017,2,8,4,5,2
SYNTH-00051,Partition,Consumer Forum (District),1,Karnataka,Others,2016-02-14,2021-12-14,71,80.63,0.49,1,0,25,0,0,1,Decree in favour of plaintiff,,2016,1,122.26666666666667,4.402196841463264,50-200L,20.0,0.49544626593806923,0.2044711014176663,11,1,2,6,2
SYNTH-00052,Civil Suit,Consumer Forum (State),2,Delhi,IT / Technology,2018-11-02,2022-03-16,41,8.54,0.58,0,1,27,1,0,1,Settlement / Compromise,,2018,4,89.2,2.255493485460195,<10L,27.0,0.4752475247524752,0.30269058295964124,3,2,0,3,3
SYNTH-00053,Arbitration,Supreme Court,4,Telangana,Banking & Finance,2014-09-30,2017-04-17,31,119.45,0.5,0,0,17,0,0,0,Dismissed for default,,2014,3,139.0,4.79123472906088,50-200L,60.0,0.44227642276422763,0.1223021582733813,1,8,7,0,2
SYNTH-00054,Civil Suit,Consumer Forum (District),1,Tamil Nadu,Real Estate,2011-03-03,2013-01-21,23,79.5,0.8,0,0,2,0,0,1,Decree in favour of plaintiff,,2011,1,182.56666666666666,4.388257184424518,50-200L,20.0,0.49544626593806923,0.010954902318787658,3,1,6,7,2
SYNTH-00055,Partition,High Court (Original),3,Karnataka,Others,2012-10-31,2016-04-13,42,19.69,0.51,1,0,29,0,0,1,Settlement / Compromise,,2012,4,162.3,3.029650491757452,10-50L,36.0,0.45454545454545453,0.17868145409735056,11,5,2,6,1
SYNTH-00056,Labour / Employment,Commercial Court,2,West Bengal,Retail,2013-09-03,2015-10-23,26,84.74,0.78,1,1,19,0,0,1,Decree in favour of plaintiff,,2013,3,152.06666666666666,4.451319461169831,50-200L,24.0,0.5288966725043783,0.12494519947391496,8,0,9,8,2
SYNTH-00057,Money Recovery,High Court (Appeal),3,Punjab,Real Estate,2015-06-13,2017-10-30,29,896.65,0.31,0,0,38,0,0,0,Dismissed on merits,6.92,2015,2,130.46666666666667,6.7997802373168375,0.2-1Cr,42.0,0.46953405017921146,0.2912621359223301,10,4,4,7,0
SYNTH-00058,Liquidation (IBC),NCLAT,3,Maharashtra,Retail,2019-08-11,2020-07-06,11,177.79,0.61,1,0,0,0,0,0,Dismissed on merits,1.03,2019,3,79.8,5.186211932763729,50-200L,18.0,0.4585635359116022,0.0,9,6,3,8,2
SYNTH-00059,Appeal (HC),NCLAT,3,Rajasthan,Telecom,2020-04-24,2023-01-09,33,187.37,0.64,0,0,17,0,0,0,Decree in favour of defendant,,2020,2,71.23333333333333,5.238408113794128,50-200L,18.0,0.4585635359116022,0.23865231633130557,0,6,5,9,2
SYNTH-00060,IP Infringement,Supreme Court,4,Rajasthan,Others,2016-01-08,2028-09-01,154,37.79,0.43,0,0,17,0,0,0,Settlement / Compromise,,2016,1,123.5,3.6581624814518756,10-50L,60.0,0.44227642276422763,0.13765182186234817,6,8,5,6,1
SYNTH-00061,Arbitration,Supreme Court,4,Punjab,IT / Technology,2010-08-24,2014-01-05,41,14.38,0.52,0,0,22,0,0,0,Dismissed on merits,,2010,3,188.93333333333334,2.733067964077498,10-50L,60.0,0.44227642276422763,0.11644318983768524,1,8,4,3,1
SYNTH-00062,Civil Suit,Consumer Forum (State),2,Rajasthan,Telecom,2021-08-03,2023-01-25,18,48.64,0.77,1,0,31,0,0,1,Settlement / Compromise,,2021,3,55.7,3.9047969603364066,10-50L,27.0,0.4752475247524752,0.5565529622980251,3,2,5,9,1
SYNTH-00063,Labour / Employment,Consumer Forum (District),1,Uttar Pradesh,Energy,2010-05-22,2012-04-11,23,82.68,0.3,0,0,19,0,0,0,Decree in favour of defendant,,2010,2,192.06666666666666,4.427000000316613,50-200L,20.0,0.49544626593806923,0.09892398472752517,8,1,8,1,2
SYNTH-00064,Commercial Dispute,NCLAT,3,Maharashtra,Energy,2017-06-02,2019-08-21,27,55.67,0.44,0,0,14,1,1,0,Withdrawn,,2017,2,106.46666666666667,4.037244970181528,50-200L,18.0,0.4585635359116022,0.13149655604257984,4,6,3,1,2
SYNTH-00065,Partition,High Court (Original),3,Tamil Nadu,IT / Technology,2014-11-08,2020-12-06,74,36.71,0.66,0,0,33,0,0,1,Decree in favour of plaintiff,,2014,4,137.7,3.6299253112702656,10-50L,36.0,0.45454545454545453,0.23965141612200438,11,5,6,3,1
SYNTH-00066,Arbitration,High Court (Appeal),3,Karnataka,Telecom,2014-01-09,2027-05-31,163,139.56,0.42,0,0,2,0,0,1,Settlement / Compromise,,2014,1,147.8,4.945634443878841,50-200L,42.0,0.46953405017921146,0.013531799729364004,1,4,2,9,2
SYNTH-00067,IP Infringement,Commercial Court,2,Rajasthan,Banking & Finance,2010-04-11,2011-07-05,15,10.95,0.57,0,0,11,0,0,0,Dismissed on merits,,2010,2,193.43333333333334,2.4807312783775197,10-50L,24.0,0.5288966725043783,0.05686713768740306,6,0,5,0,1
SYNTH-00068,Commercial Dispute,Commercial Court,2,Maharashtra,Manufacturing,2021-01-11,2023-06-30,30,39.05,0.29,0,1,9,0,0,0,Dismissed on merits,,2021,1,62.5,3.6901286735143684,10-50L,24.0,0.5288966725043783,0.144,4,0,3,5,1
SYNTH-00069,Liquidation (IBC),Commercial Court,2,Telangana,Others,2019-05-03,2022-02-16,34,111.04,0.58,0,0,33,0,0,0,Settlement / Compromise,7.26,2019,2,83.13333333333334,4.718855950391908,50-200L,24.0,0.5288966725043783,0.3969526864474739,9,0,7,6,2
SYNTH-00070,Specific Performance,Supreme Court,4,Maharashtra,Infrastructure,2011-05-09,2014-07-22,39,5.63,0.59,0,0,13,0,0,1,Decree in favour of plaintiff,,2011,2,180.33333333333334,1.891604804197771,<10L,60.0,0.44227642276422763,0.07208872458410351,12,8,3,4,3
SYNTH-00071,Injunction,High Court (Appeal),3,Telangana,Telecom,2011-09-07,2014-05-24,33,197.27,0.34,0,0,30,1,0,0,Transferred,,2011,3,176.3,5.289629738150471,50-200L,42.0,0.46953405017921146,0.17016449234259784,7,4,7,9,2
SYNTH-00072,Appeal (HC),Commercial Court,2,Karnataka,IT / Technology,2015-03-28,2017-05-16,26,8.43,0.76,0,0,12,0,0,1,Settlement / Compromise,,2015,1,133.03333333333333,2.2438960966453663,<10L,24.0,0.5288966725043783,0.09020295665246805,0,0,2,3,3
SYNTH-00073,Money Recovery,High Court (Original),3,Rajasthan,IT / Technology,2011-05-04,2014-07-17,39,97.32,0.34,0,0,36,0,0,1,Settlement / Compromise,55.15,2011,2,180.5,4.58822746525778,50-200L,36.0,0.45454545454545453,0.1994459833795014,10,5,5,3,2
SYNTH-00074,Specific Performance,Supreme Court,4,Delhi,Banking & Finance,2021-03-23,2026-03-27,61,9.83,0.55,0,0,27,0,0,1,Settlement / Compromise,,2021,1,60.13333333333333,2.382320061012899,<10L,60.0,0.44227642276422763,0.44900221729490025,12,8,0,0,3
SYNTH-00075,Appeal (HC),High Court (Appeal),3,Uttar Pradesh,Telecom,2010-06-19,2014-07-28,50,126.62,0.8,0,0,2,0,1,1,Decree in favour of plaintiff,,2010,2,191.13333333333333,4.849057098440201,50-200L,42.0,0.46953405017921146,0.010463899546564353,0,4,8,9,2
SYNTH-00076,Injunction,NCLT,2,Maharashtra,Infrastructure,2019-10-11,2023-12-19,51,265.26,0.6,0,1,22,0,0,0,Settlement / Compromise,,2019,4,77.76666666666667,5.584473275003771,0.2-1Cr,29.0,0.44669117647058826,0.2828975567938277,7,7,3,4,0
SYNTH-00077,Commercial Dispute,NCLAT,3,Telangana,Healthcare,2021-02-10,2021-11-07,9,13.37,0.41,0,0,35,1,1,0,Dismissed for default,,2021,1,61.5,2.6651427000909336,10-50L,18.0,0.4585635359116022,0.5691056910569106,4,6,7,2,1
SYNTH-00078,Labour / Employment,Commercial Court,2,Uttar Pradesh,Healthcare,2019-01-25,2021-08-12,31,118.0,0.73,0,1,34,0,1,0,Dismissed for default,,2019,1,86.4,4.77912349311153,50-200L,24.0,0.5288966725043783,0.3935185185185185,8,0,8,2,2
SYNTH-00079,Appeal (HC),Consumer Forum (District),1,Maharashtra,Real Estate,2019-12-01,2021-12-20,25,17660.7,0.67,0,0,18,0,0,0,Decree in favour of defendant,,2019,4,76.06666666666666,9.779153732265648,>1Cr,20.0,0.49544626593806923,0.23663453111305874,0,1,3,7,4
SYNTH-00080,Consumer Dispute,High Court (Appeal),3,Rajasthan,Banking & Finance,2013-07-21,2018-01-26,55,299.87,0.42,1,0,14,0,0,0,Dismissed for default,,2013,3,153.53333333333333,5.706678277768226,0.2-1Cr,42.0,0.46953405017921146,0.0911854103343465,5,4,5,0,0
SYNTH-00081,CIRP (IBC),High Court (Original),3,West Bengal,Manufacturing,2016-07-18,2021-04-23,58,145.05,0.53,0,0,30,1,0,0,Dismissed on merits,8.11,2016,3,117.1,4.9839490288337505,50-200L,36.0,0.45454545454545453,0.25619128949615716,2,5,9,5,2
SYNTH-00082,Consumer Dispute,Consumer Forum (State),2,Telangana,Real Estate,2013-01-23,2014-02-17,13,26.36,0.73,0,0,26,1,0,1,Decree in favour of plaintiff,,2013,1,159.5,3.3090820927543496,10-50L,27.0,0.4752475247524752,0.16300940438871472,5,2,7,7,1
SYNTH-00083,Consumer Dispute,NCLT,2,Gujarat,Energy,2016-09-11,2019-03-30,31,1758.1,0.71,0,0,9,0,0,1,Decree in favour of plaintiff,,2016,3,115.26666666666667,7.47255759360486,>1Cr,29.0,0.44669117647058826,0.07807981492192019,5,7,1,1,4
SYNTH-00084,Commercial Dispute,Consumer Forum (State),2,West Bengal,Real Estate,2020-03-19,2021-02-12,11,152.84,0.76,0,0,15,0,0,0,Withdrawn,,2020,1,72.43333333333334,5.035913101280524,50-200L,27.0,0.4752475247524752,0.20708697653014266,4,2,9,7,2
SYNTH-00085,Consumer Dispute,NCLAT,3,Uttar Pradesh,Others,2020-08-10,2021-04-07,8,26.9,0.64,0,0,9,0,1,0,Transferred,,2020,3,67.63333333333334,3.32862668882732,10-50L,18.0,0.4585635359116022,0.13307047806801378,5,6,8,6,1
SYNTH-00086,IP Infringement,NCLAT,3,Karnataka,Banking & Finance,2012-04-02,2014-10-19,31,60.12,0.73,0,0,29,1,1,1,Settlement / Compromise,,2012,2,169.36666666666667,4.112839144858265,50-200L,18.0,0.4585635359116022,0.17122613658728597,6,6,2,0,2
SYNTH-00087,Labour / Employment,Consumer Forum (District),1,West Bengal,Healthcare,2015-12-12,2016-11-06,11,18.67,0.44,0,0,21,0,0,0,Withdrawn,,2015,4,124.4,2.979094632400968,10-50L,20.0,0.49544626593806923,0.1688102893890675,8,1,9,2,1
SYNTH-00088,IP Infringement,Consumer Forum (District),1,West Bengal,Banking & Finance,2010-10-22,2013-02-08,28,18.26,0.59,0,0,18,0,0,1,Decree in favour of plaintiff,,2010,4,186.96666666666667,2.9580304063699794,10-50L,20.0,0.49544626593806923,0.09627384560527723,6,1,9,0,1
SYNTH-00089,CIRP (IBC),Commercial Court,2,Karnataka,Manufacturing,2013-09-24,2015-11-13,26,58.46,0.63,0,1,3,1,0,1,Settlement / Compromise,18.81,2013,3,151.36666666666667,4.085303817569952,50-200L,24.0,0.5288966725043783,0.01981942303457388,2,0,2,5,2
SYNTH-00090,Commercial Dispute,Consumer Forum (State),2,Punjab,Infrastructure,2014-01-15,2017-06-28,42,2.62,0.34,1,0,39,0,0,0,Dismissed on merits,,2014,1,147.6,1.2864740258376797,<10L,27.0,0.4752475247524752,0.26422764227642276,4,2,4,4,3
SYNTH-00091,CIRP (IBC),High Court (Appeal),3,Karnataka,Banking & Finance,2015-09-12,2019-06-23,46,20.23,0.5,0,0,29,0,0,0,Settlement / Compromise,1.41,2015,3,127.43333333333334,3.055415275715165,10-50L,42.0,0.46953405017921146,0.22756997122678524,2,4,2,0,1
SYNTH-00092,Arbitration,Consumer Forum (District),1,Rajasthan,Banking & Finance,2016-09-16,2018-10-06,25,200.06,0.6,0,0,19,1,0,1,Settlement / Compromise,,2016,3,115.1,5.303603370977274,0.2-1Cr,20.0,0.49544626593806923,0.16507384882710688,1,1,5,0,0
SYNTH-00093,Commercial Dispute,High Court (Appeal),3,Delhi,Others,2018-01-19,2019-12-10,23,33.06,0.57,0,0,25,1,0,1,Settlement / Compromise,,2018,1,98.76666666666667,3.5281236752345424,10-50L,42.0,0.46953405017921146,0.2531218359770503,4,4,0,6,1
