cirp_id,sector,bench,admission_date,resolution_status,duration_days,admitted_claim_cr,realisation_pct,no_of_financial_creditors,resolution_applicants_received,ip_changed,litigation_pending,favourable_outcome,admission_year,log_admitted_claim,applicants_per_creditor,sector_enc,bench_enc
CIRP-00026,Telecom,NCLT Delhi,2020-06-22,Liquidation Order,544,52.67,0.31,96,9,0,1,0,2020,3.9828541861887374,0.09375,9,2
CIRP-00027,Infrastructure,NCLT Kolkata,2020-04-17,Settled,159,190.44,78.25,34,4,0,1,1,2020,5.254574443600118,0.11764705882352941,4,4
CIRP-00028,IT / Technology,NCLT Hyderabad,2022-09-10,Ongoing,224,148.91,,100,16,0,1,0,2022,5.010035114024223,0.16,3,3
CIRP-00029,Healthcare,NCLT Delhi,2018-03-11,Ongoing,557,323.66,,27,13,0,0,0,2018,5.782778480882699,0.48148148148148145,2,2
CIRP-00030,Others,NCLT Chennai,2019-11-10,Resolution Plan Approved,375,71.5,61.03,133,12,1,0,1,2019,4.283586561860629,0.09022556390977443,6,1
CIRP-00031,Energy,NCLT Chennai,2022-02-24,Settled,1024,10.7,54.52,28,0,0,0,1,2022,2.4595888418037104,0.0,1,1
CIRP-00032,Manufacturing,NCLT Hyderabad,2017-11-09,Withdrawn (Sec 12A),280,16.64,54.65,23,17,0,1,1,2017,2.8701690505786455,0.7391304347826086,5,3
CIRP-00033,Banking & Finance,NCLT Kolkata,2019-02-02,Withdrawn (Sec 12A),74,594.31,53.43,85,1,1,0,1,2019,6.389082278271237,0.011764705882352941,0,4
CIRP-00034,Healthcare,NCLT Delhi,2020-08-09,Liquidation Order,106,63.24,1.87,84,3,0,1,0,2020,4.162626069638506,0.03571428571428571,2,2
CIRP-00035,Manufacturing,NCLT Ahmedabad,2017-12-08,Liquidation Order,273,15.97,0.82,55,7,1,0,0,2017,2.831447079246135,0.12727272727272726,5,0
CIRP-00036,Real Estate,NCLT Mumbai,2018-03-31,Resolution Plan Approved,682,17.02,32.33,129,7,0,0,1,2018,2.8914822521801917,0.05426356589147287,7,5
CIRP-00037,Telecom,NCLT Ahmedabad,2019-02-03,Liquidation Order,717,8.59,8.06,106,20,0,0,0,2019,2.2607208888953467,0.18867924528301888,9,0
CIRP-00038,Others,NCLT Chennai,2020-09-09,Appeal Pending,411,133.56,,53,14,0,0,0,2020,4.902010196224638,0.2641509433962264,6,1
CIRP-00039,Telecom,NCLT Mumbai,2022-06-10,Resolution Plan Approved,376,41.72,40.18,149,5,0,1,1,2022,3.7546671946519394,0.03355704697986577,9,5
CIRP-00040,Banking & Finance,NCLT Mumbai,2021-12-23,Resolution Plan Approved,1005,2.64,31.91,6,20,0,0,1,2021,1.2919836816486494,3.3333333333333335,0,5
CIRP-00041,Manufacturing,NCLT Hyderabad,2022-08-22,Settled,867,22.67,63.84,3,7,0,1,1,2022,3.1642084235258925,2.3333333333333335,5,3
CIRP-00042,Energy,NCLT Ahmedabad,2017-12-19,Liquidation Order,82,71.65,1.42,19,20,1,0,0,2017,4.285653390016292,1.0526315789473684,1,0
CIRP-00043,Energy,NCLT Ahmedabad,2017-09-20,Liquidation Order,270,57.61,9.48,111,16,0,0,0,2017,4.070905330488338,0.14414414414414414,1,0
CIRP-00044,Retail,NCLT Ahmedabad,2020-08-06,Withdrawn (Sec 12A),639,10.12,59.65,6,14,0,1,1,2020,2.4087452888224363,2.3333333333333335,8,0
CIRP-00045,Retail,NCLT Kolkata,2017-02-12,Resolution Plan Approved,100,2.8,32.57,65,17,0,0,1,2017,1.33500106673234,0.26153846153846155,8,4
CIRP-00046,Retail,NCLT Kolkata,2020-06-11,Resolution Plan Approved,315,52.87,53.62,70,10,1,1,1,2020,3.9865737366924425,0.14285714285714285,8,4
CIRP-00047,Retail,NCLT Kolkata,2019-06-06,Settled,313,67.57,36.94,93,18,0,0,1,2019,4.227855121296273,0.1935483870967742,8,4
CIRP-00048,Infrastructure,NCLT Mumbai,2022-07-24,Withdrawn (Sec 12A),1090,9.84,55.56,114,13,0,1,1,2022,2.3832429960115,0.11403508771929824,4,5
CIRP-00049,Retail,NCLT Mumbai,2019-12-28,Withdrawn (Sec 12A),1072,79.22,80.45,81,10,0,0,1,2019,4.384772860341907,0.12345679012345678,8,5
CIRP-00050,Energy,NCLT Hyderabad,2022-09-14,Settled,956,50.52,39.25,66,12,0,0,1,2022,3.9419700817960983,0.18181818181818182,1,3
CIRP-00051,Infrastructure,NCLT Kolkata,2017-05-25,Resolution Plan Approved,89,2619.45,43.0,49,11,0,0,1,2017,7.871101337732007,0.22448979591836735,4,4
CIRP-00052,Retail,NCLT Ahmedabad,2018-09-28,Settled,961,89.82,71.57,2,8,0,1,1,2018,4.508879525669805,4.0,8,0
CIRP-00053,Others,NCLT Ahmedabad,2020-07-06,Withdrawn (Sec 12A),78,21.95,53.35,45,1,0,0,1,2020,3.133317936506554,0.022222222222222223,6,0
CIRP-00054,IT / Technology,NCLT Delhi,2018-05-07,Appeal Pending,374,265.32,,59,0,0,1,0,2018,5.584698593266769,0.0,3,2
CIRP-00055,Energy,NCLT Mumbai,2019-12-13,Liquidation Order,963,243.34,4.67,43,2,0,0,0,2019,5.498560697975914,0.046511627906976744,1,5
CIRP-00056,Banking & Finance,NCLT Kolkata,2018-07-09,Settled,796,23.86,51.07,115,11,0,0,1,2018,3.213260086082565,0.09565217391304348,0,4
CIRP-00057,Banking & Finance,NCLT Delhi,2022-05-25,Settled,197,49.34,45.47,33,15,0,0,1,2022,3.91879998970717,0.45454545454545453,0,2
CIRP-00058,Telecom,NCLT Ahmedabad,2017-09-08,Appeal Pending,183,1896.59,,145,11,0,0,0,2017,7.548339938975018,0.07586206896551724,9,0
CIRP-00059,Infrastructure,NCLT Chennai,2017-03-21,Liquidation Order,560,1162.52,1.08,87,2,0,0,0,2017,7.059205172109005,0.022988505747126436,4,1
CIRP-00060,Retail,NCLT Kolkata,2021-12-27,Ongoing,43,47.14,,76,16,0,1,0,2021,3.874113432354926,0.21052631578947367,8,4
CIRP-00061,Manufacturing,NCLT Chennai,2022-10-31,Appeal Pending,366,17.73,,62,10,0,0,0,2022,2.930126516455997,0.16129032258064516,5,1
CIRP-00062,Telecom,NCLT Chennai,2020-03-22,Withdrawn (Sec 12A),292,28.92,60.61,84,3,0,1,1,2020,3.3985271531062766,0.03571428571428571,9,1
CIRP-00063,Real Estate,NCLT Hyderabad,2020-09-02,Liquidation Order,639,26.15,0.02,150,1,0,0,0,2020,3.3013770463799443,0.006666666666666667,7,3
CIRP-00064,Retail,NCLT Mumbai,2017-08-27,Resolution Plan Approved,1031,108.01,43.16,61,4,0,0,1,2017,4.691439621140267,0.06557377049180328,8,5
CIRP-00065,Energy,NCLT Delhi,2021-10-15,Withdrawn (Sec 12A),227,29.66,51.11,31,8,0,0,1,2021,3.422958873443668,0.25806451612903225,1,2
CIRP-00066,Others,NCLT Hyderabad,2019-07-21,Withdrawn (Sec 12A),1052,4.17,72.65,142,20,0,0,1,2019,1.6428726885203377,0.14084507042253522,6,3
CIRP-00067,IT / Technology,NCLT Delhi,2021-03-16,Resolution Plan Approved,951,2.65,46.02,91,19,0,0,1,2021,1.2947271675944,0.2087912087912088,3,2
CIRP-00068,Manufacturing,NCLT Mumbai,2017-12-27,Ongoing,78,38.92,,99,9,0,0,0,2017,3.686877451443263,0.09090909090909091,5,5
CIRP-00069,Banking & Finance,NCLT Kolkata,2018-11-02,Ongoing,554,51.06,,43,0,0,0,0,2018,3.9523968995664194,0.0,0,4
CIRP-00070,Infrastructure,NCLT Hyderabad,2020-08-29,Appeal Pending,362,84.61,,107,5,0,1,0,2020,4.449802098754394,0.04672897196261682,4,3
CIRP-00071,Retail,NCLT Mumbai,2022-02-07,Ongoing,76,20.64,,73,17,0,0,0,2022,3.074543453978281,0.2328767123287671,8,5
CIRP-00072,Manufacturing,NCLT Kolkata,2020-01-12,Liquidation Order,736,692.44,5.93,99,17,0,0,0,2020,6.541664718347994,0.1717171717171717,5,4
CIRP-00073,Banking & Finance,NCLT Kolkata,2022-12-14,Settled,847,239.95,56.73,74,11,0,0,1,2022,5.4845894430863416,0.14864864864864866,0,4
CIRP-00074,Others,NCLT Mumbai,2022-03-11,Appeal Pending,548,445.97,,145,5,0,0,0,2022,6.102491478267358,0.034482758620689655,6,5
CIRP-00075,Banking & Finance,NCLT Chennai,2017-01-08,Resolution Plan Approved,680,50.93,30.95,42,16,1,0,1,2017,3.9498966578562276,0.38095238095238093,0,1
CIRP-00076,Infrastructure,NCLT Delhi,2021-06-14,Appeal Pending,542,70.08,,113,16,0,1,0,2021,4.263806003286451,0.1415929203539823,4,2
CIRP-00077,Infrastructure,NCLT Kolkata,2019-11-27,Resolution Plan Approved,251,111.05,39.36,68,15,0,1,1,2019,4.718945200246936,0.22058823529411764,4,4
CIRP-00078,Banking & Finance,NCLT Mumbai,2021-02-25,Resolution Plan Approved,778,99.63,19.82,1,9,0,0,1,2021,4.611450423945242,9.0,0,5
CIRP-00079,IT / Technology,NCLT Chennai,2019-07-16,Withdrawn (Sec 12A),93,200.51,78.42,106,6,0,1,1,2019,5.305839007946883,0.05660377358490566,3,1
CIRP-00080,Manufacturing,NCLT Ahmedabad,2019-06-05,Withdrawn (Sec 12A),993,24.82,60.63,68,10,1,1,1,2019,3.2511493854184965,0.14705882352941177,5,0
CIRP-00081,Others,NCLT Delhi,2017-03-30,Liquidation Order,743,4.43,8.26,71,12,0,0,0,2017,1.691939133945844,0.16901408450704225,6,2
CIRP-00082,Telecom,NCLT Kolkata,2021-08-29,Resolution Plan Approved,693,141.33,35.34,110,3,0,1,1,2021,4.958148305082534,0.02727272727272727,9,4
CIRP-00083,Manufacturing,NCLT Delhi,2022-03-17,Appeal Pending,353,111.93,,104,13,0,0,0,2022,4.726768157735579,0.125,5,2
CIRP-00084,Infrastructure,NCLT Mumbai,2021-02-13,Appeal Pending,245,320.34,,60,2,0,1,0,2021,5.772499752615189,0.03333333333333333,4,5
CIRP-00085,Telecom,NCLT Chennai,2017-07-15,Settled,91,23.17,74.01,95,4,0,1,1,2017,3.1851121947153915,0.042105263157894736,9,1
CIRP-00086,Real Estate,NCLT Kolkata,2018-05-16,Appeal Pending,92,30.57,,98,11,0,0,0,2018,3.4522073025699003,0.11224489795918367,7,4
CIRP-00087,Manufacturing,NCLT Hyderabad,2018-06-28,Ongoing,310,45.98,,12,0,0,1,0,2018,3.849721979230767,0.0,5,3
CIRP-00088,Telecom,NCLT Kolkata,2020-09-21,Liquidation Order,492,58.11,2.88,141,18,0,0,0,2020,4.079400114836278,0.1276595744680851,9,4
CIRP-00089,Banking & Finance,NCLT Ahmedabad,2022-08-15,Withdrawn (Sec 12A),1089,162.61,78.14,98,15,0,0,1,2022,5.097485546994985,0.15306122448979592,0,0
CIRP-00090,Healthcare,NCLT Kolkata,2020-05-04,Liquidation Order,516,32.27,1.05,123,13,1,1,0,2020,3.5046560900303856,0.10569105691056911,2,4
CIRP-00091,Telecom,NCLT Hyderabad,2022-01-02,Resolution Plan Approved,324,125.61,24.81,67,16,0,0,1,2022,4.841111495532162,0.23880597014925373,9,3
CIRP-00092,IT / Technology,NCLT Mumbai,2021-04-20,Appeal Pending,451,517.02,,131,15,0,0,0,2021,6.250013851552745,0.11450381679389313,3,5
CIRP-00093,Others,NCLT Ahmedabad,2017-03-24,Settled,917,213.56,76.37,15,3,1,0,1,2017,5.368589419533368,0.2,6,0
CIRP-00094,Manufacturing,NCLT Delhi,2020-11-15,Ongoing,597,501.1,,21,16,0,0,0,2020,6.21879930304066,0.7619047619047619,5,2
CIRP-00095,Real Estate,NCLT Delhi,2017-11-29,Ongoing,104,84.27,,125,11,0,0,0,2017,4.445822692753958,0.088,7,2
CIRP-00096,Healthcare,NCLT Mumbai,2022-11-20,Ongoing,204,35.68,,13,0,1,0,0,2022,3.602231647388264,0.0,2,5
CIRP-00097,IT / Technology,NCLT Ahmedabad,2022-11-26,Resolution Plan Approved,242,89.59,51.33,53,16,0,0,1,2022,4.506343831681196,0.3018867924528302,3,0
CIRP-00098,Others,NCLT Delhi,2018-02-22,Resolution Plan Approved,933,13.44,25.32,75,1,0,0,1,2018,2.67000213346468,0.013333333333333334,6,2
CIRP-00099,Retail,NCLT Delhi,2022-10-03,Resolution Plan Approved,924,271.56,26.42,2,0,0,0,1,2022,5.607858773352711,0.0,8,2
CIRP-00100,Others,NCLT Mumbai,2021-12-04,Liquidation Order,311,66.15,1.38,136,1,0,1,0,2021,4.206928922969246,0.007352941176470588,6,5
CIRP-00101,Real Estate,NCLT Ahmedabad,2019-09-10,Resolution Plan Approved,115,5.34,38.82,122,5,1,0,1,2019,1.8468787684491346,0.040983606557377046,7,0
CIRP-00102,Manufacturing,NCLT Mumbai,2020-05-26,Settled,725,2.89,68.72,107,7,0,0,1,2020,1.358409157630355,0.06542056074766354,5,5
CIRP-00103,Manufacturing,NCLT Hyderabad,2018-10-29,Ongoing,587,407.81,,97,3,0,0,0,2018,6.013250500429839,0.030927835051546393,5,3
CIRP-00104,Retail,NCLT Kolkata,2022-04-01,Settled,526,25.37,89.37,103,12,0,1,1,2022,3.2722270003651954,0.11650485436893204,8,4
CIRP-00105,Healthcare,NCLT Mumbai,2018-03-20,Liquidation Order,1041,261.9,1.73,29,14,0,0,0,2018,5.571773731735836,0.4827586206896552,2,5
CIRP-00106,Energy,NCLT Ahmedabad,2017-05-21,Appeal Pending,62,4.54,,116,11,1,0,0,2017,1.7119945007591924,0.09482758620689655,1,0
CIRP-00107,Infrastructure,NCLT Ahmedabad,2020-10-28,Liquidation Order,930,90.47,0.41,74,18,0,0,0,2020,4.516011049668273,0.24324324324324326,4,0
CIRP-00108,Healthcare,NCLT Chennai,2022-12-31,Resolution Plan Approved,729,236.8,26.29,75,18,1,1,1,2022,5.471429984256681,0.24,2,1
CIRP-00109,Healthcare,NCLT Hyderabad,2018-06-16,Resolution Plan Approved,935,78.82,20.93,4,12,1,1,1,2018,4.379774099620588,3.0,2,3
CIRP-00110,Real Estate,NCLT Chennai,2018-04-24,Settled,102,5.33,44.32,143,5,0,0,1,2018,1.8453002361560848,0.03496503496503497,7,1
CIRP-00111,Others,NCLT Mumbai,2019-02-25,Resolution Plan Approved,631,427.53,13.6,66,10,0,1,1,2019,6.060360747255744,0.15151515151515152,6,5
CIRP-00112,IT / Technology,NCLT Ahmedabad,2019-04-15,Resolution Plan Approved,961,360.58,34.35,16,9,0,1,1,2019,5.890483317253868,0.5625,3,0
CIRP-00113,Healthcare,NCLT Hyderabad,2021-10-31,Withdrawn (Sec 12A),718,19.55,64.04,38,15,0,1,1,2021,3.022860940942244,0.39473684210526316,2,3
CIRP-00114,Infrastructure,NCLT Kolkata,2022-02-21,Resolution Plan Approved,608,521.86,50.66,70,9,1,1,1,2022,6.259313741806043,0.12857142857142856,4,4
CIRP-00115,Telecom,NCLT Ahmedabad,2018-08-17,Liquidation Order,832,30.88,5.15,82,3,0,0,0,2018,3.461978853922014,0.036585365853658534,9,0
CIRP-00116,Telecom,NCLT Delhi,2018-04-03,Resolution Plan Approved,678,49.61,21.67,68,3,0,0,1,2018,3.9241491852259864,0.04411764705882353,9,2
CIRP-00117,Real Estate,NCLT Kolkata,2017-03-17,Withdrawn (Sec 12A),825,125.38,60.27,113,13,0,0,1,2017,4.83929324134531,0.11504424778761062,7,4
CIRP-00118,Telecom,NCLT Ahmedabad,2019-10-01,Ongoing,250,27.77,,98,17,0,0,0,2019,3.3593331775634567,0.17346938775510204,9,0
CIRP-00119,Telecom,NCLT Kolkata,2022-07-21,Appeal Pending,295,32.33,,20,8,0,0,0,2022,3.506457892319648,0.4,9,4
CIRP-00120,IT / Technology,NCLT Kolkata,2017-03-13,Resolution Plan Approved,112,187.32,39.55,29,7,1,0,1,2017,5.238142643511966,0.2413793103448276,3,4
CIRP-00121,Banking & Finance,NCLT Chennai,2020-02-07,Appeal Pending,291,263.83,,64,6,0,0,0,2020,5.57908811069704,0.09375,0,1
CIRP-00122,Telecom,NCLT Mumbai,2022-07-24,Withdrawn (Sec 12A),998,331.09,61.61,21,15,0,0,1,2022,5.805406016517118,0.7142857142857143,9,5
CIRP-00123,Manufacturing,NCLT Kolkata,2021-07-30,Withdrawn (Sec 12A),788,16.22,76.7,2,2,0,1,1,2021,2.8460714989995846,1.0,5,4
CIRP-00124,Telecom,NCLT Chennai,2018-08-05,Settled,71,23.18,36.0,100,1,0,0,1,2018,3.1855258451866466,0.01,9,1
CIRP-00125,Infrastructure,NCLT Kolkata,2022-07-18,Resolution Plan Approved,602,476.76,24.47,36,9,0,0,1,2022,6.1691085143508255,0.25,4,4
CIRP-00126,Retail,NCLT Chennai,2019-07-12,Withdrawn (Sec 12A),738,21.27,81.13,136,6,1,0,1,2019,3.1032404812692764,0.04411764705882353,8,1
CIRP-00127,Retail,NCLT Kolkata,2018-12-21,Ongoing,351,25.04,,14,1,0,1,0,2018,3.2596338173403683,0.07142857142857142,8,4
CIRP-00128,Banking & Finance,NCLT Mumbai,2022-02-03,Withdrawn (Sec 12A),467,4210.19,87.22,61,13,0,0,1,2022,8.345500547068063,0.21311475409836064,0,5
CIRP-00129,Infrastructure,NCLT Hyderabad,2020-06-19,Settled,778,10.77,80.41,144,14,0,0,1,2020,2.4655539212721855,0.09722222222222222,4,3
CIRP-00130,Others,NCLT Chennai,2020-07-29,Withdrawn (Sec 12A),1035,13.16,76.35,130,1,1,0,1,2020,2.6504210882655737,0.007692307692307693,6,1
CIRP-00131,Retail,NCLT Hyderabad,2022-07-14,Settled,1000,44.8,50.41,137,10,0,0,1,2022,3.824284091120139,0.072992700729927,8,3
CIRP-00132,Telecom,NCLT Hyderabad,2021-10-31,Resolution Plan Approved,271,62.0,28.34,11,12,0,0,1,2021,4.143134726391533,1.0909090909090908,9,3
CIRP-00133,Healthcare,NCLT Chennai,2020-02-07,Resolution Plan Approved,902,241.9,47.22,47,5,0,1,1,2020,5.492649836008127,0.10638297872340426,2,1
CIRP-00134,Infrastructure,NCLT Kolkata,2019-11-12,Appeal Pending,427,352.95,,100,18,0,0,0,2019,5.869155660220199,0.18,4,4
CIRP-00135,Energy,NCLT Hyderabad,2019-09-30,Resolution Plan Approved,416,42.3,17.31,53,1,0,0,1,2019,3.768152635008444,0.018867924528301886,1,3
CIRP-00136,Healthcare,NCLT Kolkata,2017-12-06,Ongoing,54,84.04,,130,8,0,1,0,2017,4.443121734033692,0.06153846153846154,2,4
CIRP-00137,IT / Technology,NCLT Hyderabad,2018-07-28,Appeal Pending,600,295.99,,86,17,0,0,0,2018,5.693698468202181,0.19767441860465115,3,3
CIRP-00138,Healthcare,NCLT Chennai,2017-12-14,Ongoing,564,46.81,,131,18,0,0,0,2017,3.867234822638012,0.13740458015267176,2,1
CIRP-00139,Others,NCLT Kolkata,2021-01-25,Resolution Plan Approved,232,1807.9,39.04,53,16,0,0,1,2021,7.500474204707589,0.3018867924528302,6,4
CIRP-00140,Others,NCLT Delhi,2018-04-09,Appeal Pending,367,30.3,,112,1,0,0,0,2018,3.4436180975461075,0.008928571428571428,6,2
CIRP-00141,Infrastructure,NCLT Kolkata,2017-11-06,Ongoing,389,59.39,,118,9,0,0,0,2017,4.10082352831981,0.07627118644067797,4,4
CIRP-00142,IT / Technology,NCLT Mumbai,2019-04-18,Appeal Pending,356,15.85,,97,18,0,0,0,2019,2.8243506567983707,0.18556701030927836,3,5
CIRP-00143,Infrastructure,NCLT Ahmedabad,2018-04-20,Settled,996,89.03,69.31,34,4,0,0,1,2018,4.500142948120385,0.11764705882352941,4,0
CIRP-00144,Telecom,NCLT Mumbai,2019-10-21,Resolution Plan Approved,912,29.03,40.0,71,12,0,1,1,2019,3.402196881995239,0.16901408450704225,9,5
CIRP-00145,Energy,NCLT Hyderabad,2019-07-14,Settled,705,390.15,37.4,91,4,0,1,1,2019,5.9690911181310895,0.04395604395604396,1,3
CIRP-00146,Manufacturing,NCLT Ahmedabad,2017-07-12,Settled,1074,21.51,65.78,26,14,1,0,1,2017,3.113959654918641,0.5384615384615384,5,0
CIRP-00147,Energy,NCLT Chennai,2019-12-31,Ongoing,151,99.42,,33,3,1,1,0,2019,4.609361390606559,0.09090909090909091,1,1
CIRP-00148,Manufacturing,NCLT Chennai,2021-04-16,Liquidation Order,399,3.01,2.69,12,5,0,0,0,2021,1.3887912413184778,0.4166666666666667,5,1
CIRP-00149,Banking & Finance,NCLT Delhi,2019-07-29,Liquidation Order,435,13.39,1.01,123,14,0,0,0,2019,2.6665335208992764,0.11382113821138211,0,2
CIRP-00150,Retail,NCLT Kolkata,2021-02-19,Resolution Plan Approved,457,64.1,14.1,38,0,0,0,1,2021,4.175924549214524,0.0,8,4
CIRP-00151,Others,NCLT Ahmedabad,2019-10-20,Ongoing,437,71.27,,43,12,0,0,0,2019,4.28040910529489,0.27906976744186046,6,0
CIRP-00152,Others,NCLT Ahmedabad,2020-10-05,Appeal Pending,38,127.19,,129,19,1,0,0,2020,4.8535135383240435,0.14728682170542637,6,0
CIRP-00153,Others,NCLT Delhi,2018-10-28,Ongoing,454,24.22,,99,15,0,0,0,2018,3.2276373305367736,0.15151515151515152,6,2
CIRP-00154,Telecom,NCLT Kolkata,2019-08-21,Ongoing,549,715.2,,18,13,0,0,0,2019,6.5739594575643325,0.7222222222222222,9,4
CIRP-00155,Others,NCLT Ahmedabad,2018-03-08,Withdrawn (Sec 12A),946,1877.81,73.42,141,14,0,0,1,2018,7.538393876684982,0.09929078014184398,6,0
CIRP-00156,Banking & Finance,NCLT Kolkata,2019-12-27,Appeal Pending,335,83.34,,102,15,0,0,0,2019,4.434856248318414,0.14705882352941177,0,4
CIRP-00157,Banking & Finance,NCLT Ahmedabad,2019-03-04,Withdrawn (Sec 12A),676,43.73,69.08,25,5,0,1,1,2019,3.8006444174447567,0.2,0,0
CIRP-00158,Others,NCLT Delhi,2022-04-09,Liquidation Order,850,4.85,6.83,94,10,0,0,0,2022,1.766441661243765,0.10638297872340426,6,2
CIRP-00159,IT / Technology,NCLT Mumbai,2021-09-13,Withdrawn (Sec 12A),259,4.06,68.5,68,12,0,1,1,2021,1.6213664832993742,0.17647058823529413,3,5
CIRP-00160,IT / Technology,NCLT Hyderabad,2021-03-22,Appeal Pending,166,27.43,,116,2,0,1,0,2021,3.3474449256629084,0.017241379310344827,3,3
CIRP-00161,Manufacturing,NCLT Delhi,2020-01-19,Appeal Pending,322,182.08,,140,9,0,0,0,2020,5.209923215785442,0.06428571428571428,5,2
CIRP-00162,Healthcare,NCLT Mumbai,2018-08-31,Appeal Pending,493,40.94,,150,12,0,0,0,2018,3.7362400254737738,0.08,2,5
CIRP-00163,Retail,NCLT Hyderabad,2019-06-28,Appeal Pending,384,138.98,,134,14,0,0,0,2019,4.941499555261394,0.1044776119402985,8,3
CIRP-00164,IT / Technology,NCLT Chennai,2021-11-19,Liquidation Order,229,280.24,3.28,99,5,0,0,0,2021,5.639208397330961,0.050505050505050504,3,1
CIRP-00165,Retail,NCLT Chennai,2022-08-31,Appeal Pending,396,160.41,,145,11,0,0,0,2022,5.083947711785188,0.07586206896551724,8,1
CIRP-00166,Energy,NCLT Hyderabad,2020-12-18,Liquidation Order,232,41.42,1.43,56,3,0,1,0,2020,3.7476199491365363,0.05357142857142857,1,3
